Back Transform:KT3DN ESTIMATES WITH: Normal Score Trans
 3
Estimate                                
EstimationVariance                      
Back Transform
-2.1938539     0.52776313  0.0000000    
-1.3204163     0.47118307  0.0000000    
-1.2753778     0.43106959  0.0000000    
-.82827370     0.40784427  0.0000000    
-1.0564340     0.40030595  0.0000000    
-.97939244     0.40435773  0.0000000    
-.86058441     0.41418538  0.0000000    
-1.7717600     0.42312606  0.0000000    
-1.0611293     0.42680935  0.0000000    
-.99359605     0.42328491  0.0000000    
-.96892425     0.41441844  0.0000000    
-1.2856245     0.40449266  0.0000000    
-1.4921233     0.40038031  0.0000000    
-1.6056636     0.40539915  0.0000000    
-.96381469     0.41609508  0.0000000    
-1.9822455     0.42641948  0.0000000    
-1.0387364     0.43186237  0.0000000    
-1.0570659     0.43046628  0.0000000    
-1.1527425     0.42359702  0.0000000    
-1.0668943     0.41558550  0.0000000    
-.83503744     0.41242123  0.0000000    
-.67126757     0.41559429  0.0000000    
-.61198180     0.42359885 0.19920661    
-.55683433     0.43044352 0.22108375    
-.50478085     0.43174956 0.24810000    
-.46442097     0.42631406 0.27324447    
-.43192921     0.41675000 0.28865814    
-.45445197     0.40548952 0.27635768    
-.49434555     0.40059646 0.25081599    
-.52430712     0.40457245 0.23868623    
-.58728516     0.41417453 0.20879193    
-2.5007882     0.42318657  0.0000000    
-.78675947     0.42672994  0.0000000    
-1.8284513     0.42320633  0.0000000    
-.87117829     0.41420704  0.0000000    
-1.6955065     0.40434910  0.0000000    
-1.8314372     0.40017575  0.0000000    
-1.4877688     0.40437264  0.0000000    
-1.9197075     0.41433833  0.0000000    
-.94626295     0.42330401  0.0000000    
-2.4720055     0.42692919  0.0000000    
-.69662618     0.42337778  0.0000000    
-.53020135     0.41440107 0.23760086    
-.49195480     0.40455481 0.25158429    
-1.3142558     0.40049674  0.0000000    
-.67077570     0.40772173  0.0000000    
-.32375680     0.43103984 0.43961596    
-1.5257965     0.49730255  0.0000000    
-1.3178931     0.56172546  0.0000000    
-.72823373     0.63257513  0.0000000    
-1.0392505     0.40988843  0.0000000    
-.90212494     0.33995842  0.0000000    
-.72115117     0.28991203  0.0000000    
-.68901777     0.26093998  0.0000000    
-.72289957     0.25155174  0.0000000    
-.75810898     0.25662494  0.0000000    
-1.2026558     0.26892002  0.0000000    
-1.0252165     0.28008778  0.0000000    
-1.1645679     0.28468417  0.0000000    
-1.4890665     0.28026799  0.0000000    
-1.6312728     0.26918462  0.0000000    
-.83090638     0.25676232  0.0000000    
-.95667755     0.25160350  0.0000000    
-1.4905480     0.25788002  0.0000000    
-.97721562     0.27126692  0.0000000    
-1.1029979     0.28416445  0.0000000    
-.75588973     0.29096028  0.0000000    
-.70262814     0.28921464  0.0000000    
-.64319866     0.28060072 0.18513742    
-.59121542     0.27057696 0.20870127    
-.56092090     0.26660597 0.22102666    
-.47194324     0.27059695 0.27116701    
-.41298312     0.28062349 0.29855534    
-.35809034     0.28919510 0.39585480    
-.30645002     0.29083518 0.45375815    
-.26765018     0.28406164 0.47228855    
-.24000592     0.27209600 0.48978651    
-.26308996     0.25804139 0.47550094    
-.32109401     0.25192301 0.44520295    
-.35509351     0.25690710 0.40045738    
-.42273954     0.26890877 0.29157385    
-.50538674     0.28017623 0.24810000    
-.61771390     0.28459675 0.19551131    
-.72713591     0.28020058  0.0000000    
-1.0600905     0.26894826  0.0000000    
-1.0159320     0.25662376  0.0000000    
-1.1919718     0.25139238  0.0000000    
-1.0511654     0.25665119  0.0000000    
-1.0645620     0.26910615  0.0000000    
-.90575541     0.28031519  0.0000000    
-2.9689253     0.28483762  0.0000000    
-1.1112920     0.28039820  0.0000000    
-1.4204496     0.26917320  0.0000000    
-.27754517     0.25685024 0.46846235    
-.15356105     0.25176095 0.54117930    
-.77754060     0.26075622  0.0000000    
-.81809594     0.28980940  0.0000000    
-.26131272     0.37258330 0.47617334    
-1.0876532     0.45298953  0.0000000    
-.69003170     0.54141701  0.0000000    
-.76586576     0.31186555  0.0000000    
-.53666364     0.23128117 0.23502441    
-1.0600679     0.17302490  0.0000000    
-3.1755052     0.13930882  0.0000000    
-1.4504749     0.12840659  0.0000000    
-.75427740     0.13434165  0.0000000    
-.66943993     0.14870291  0.0000000    
-1.2275209     0.16172296  0.0000000    
-.96901177     0.16707521  0.0000000    
-1.0281691     0.16190763  0.0000000    
-.82237644     0.14897578  0.0000000    
-1.4677524     0.13446135  0.0000000    
-.81992464     0.12841449  0.0000000    
-.74683858     0.13573604  0.0000000    
-.70985744     0.15137386  0.0000000    
-.64000459     0.16640039 0.18552886    
-.57763592     0.17430410 0.21112461    
-.52477302     0.17225045 0.23867510    
-.46482459     0.16214591 0.27313301    
-.41260420     0.15041336 0.29890698    
