pygeostat_saved_data
3
Estimate
EstimationVariance
Back Transform
-1.188194 0.578933 -1.188194
-1.052185 0.517059 -1.052185
-0.933818 0.467234 -0.933818
-0.836447 0.435155 -0.836447
-0.763156 0.424310 -0.763156
-0.729292 0.430919 -0.729292
-0.721931 0.447474 -0.721931
-0.730606 0.464202 -0.730606
-0.763288 0.480908 -0.763288
-0.800798 0.493262 -0.800798
-0.800801 0.485760 -0.800801
-0.837130 0.487356 -0.837130
-0.720147 0.481170 -0.720147
-0.716924 0.487339 -0.716924
-0.659713 0.485668 -0.659713
-0.622682 0.493060 -0.622682
-0.551719 0.480657 -0.551719
-0.479732 0.463996 -0.479732
-0.400302 0.447255 -0.400302
-0.339914 0.430695 -0.339914
-0.278322 0.424102 -0.278322
-0.185713 0.429473 -0.185713
-0.097489 0.441408 -0.097489
-0.034651 0.454170 -0.034651
0.015954 0.462344 0.015954
0.025349 0.465111 0.025349
0.023089 0.462560 0.023089
-0.017029 0.458833 -0.017029
-0.063372 0.459391 -0.063372
-0.168705 0.464327 -0.168705
-0.226570 0.471859 -0.226570
-0.280833 0.479447 -0.280833
-0.358011 0.482493 -0.358011
-0.441862 0.479518 -0.441862
-0.524324 0.472355 -0.524324
-0.606776 0.464588 -0.606776
-0.687959 0.461394 -0.687959
-0.713874 0.461769 -0.713874
-0.730187 0.467190 -0.730187
-0.748351 0.471669 -0.748351
-0.768392 0.471187 -0.768392
-0.783618 0.464456 -0.783618
-0.816118 0.454069 -0.816118
-0.843157 0.442946 -0.843157
-0.886467 0.437019 -0.886467
-0.949247 0.444416 -0.949247
-1.021528 0.466626 -1.021528
-1.136495 0.527232 -1.136495
-1.242970 0.587681 -1.242970
-1.366607 0.654632 -1.366607
-1.013319 0.465507 -1.013319
-0.866328 0.386965 -0.866328
-0.738649 0.323573 -0.738649
-0.634584 0.282953 -0.634584
-0.556657 0.269236 -0.556657
-0.522232 0.277615 -0.522232
-0.516498 0.298585 -0.516498
-0.527462 0.319781 -0.527462
-0.564325 0.340868 -0.564325
-0.605613 0.356435 -0.605613
-0.603593 0.346979 -0.603593
-0.643698 0.349026 -0.643698
-0.508689 0.341077 -0.508689
-0.502055 0.348929 -0.502055
-0.435823 0.346892 -0.435823
-0.393630 0.356225 -0.393630
-0.315492 0.340618 -0.315492
-0.238746 0.319579 -0.238746
-0.156612 0.298375 -0.156612
-0.098356 0.277411 -0.098356
