Back Transform:KT3DN ESTIMATES WITH: Normal Score Trans
 3
Estimate                                
EstimationVariance                      
Back Transform
-3.1736673      1.2348451  0.0000000    
-2.2993608      1.2608996  0.0000000    
-2.2643754      1.2636189  0.0000000    
-1.7947629      1.2436073  0.0000000    
-1.9676465      1.1875702  0.0000000    
-1.6794339      1.1007971  0.0000000    
-1.4575463     0.98042119  0.0000000    
-2.2451591     0.83694541  0.0000000    
-1.4987343     0.74166346  0.0000000    
-1.2946145     0.79467243  0.0000000    
-1.2007359     0.82875787  0.0000000    
-1.3714644     0.84024487  0.0000000    
-1.4125210     0.82842372  0.0000000    
-1.4501720     0.78966747  0.0000000    
-.72876161     0.72887284  0.0000000    
-1.7070432     0.65290420  0.0000000    
-.81390504     0.57483539  0.0000000    
-.83674817     0.65795069  0.0000000    
-.78086619     0.72697096  0.0000000    
-.86134974     0.77161800  0.0000000    
-.61440571     0.78670726 0.19712028    
-1.0443390     0.77278996  0.0000000    
-.43974768     0.72308104 0.27812913    
-.38263160     0.65546415 0.32558918    
-.31561123     0.59304440 0.45182744    
-.29283662     0.68454806 0.46442586    
-.29226894     0.75583217 0.46444869    
-.30976059     0.80757783 0.45375675    
-.34592668     0.82763158 0.38876957    
-.40833985     0.80776517 0.30196252    
-.45107674     0.75899994 0.27389568    
-.51795257     0.68616750 0.24589425    
-.61511025     0.59777492 0.19659568    
-.70425126     0.67265096  0.0000000    
-.82430426     0.74430908  0.0000000    
-1.7279755     0.79194800  0.0000000    
-1.7500361     0.81179743  0.0000000    
-1.4522111     0.79610213  0.0000000    
-1.8824709     0.75415371  0.0000000    
-.99345522     0.68802807  0.0000000    
-2.5181962     0.62438251  0.0000000    
-.80374231     0.73496247  0.0000000    
-.78564263     0.83291923  0.0000000    
-.94076732     0.91156510  0.0000000    
-1.7710601     0.96754313  0.0000000    
-1.1351025      1.0017648  0.0000000    
-.76419334      1.0177137  0.0000000    
-1.8646282      1.0214882  0.0000000    
-1.6274485      1.0136177  0.0000000    
-1.0491910      1.0080011  0.0000000    
-2.0353252      1.2627709  0.0000000    
-1.8920829      1.3032392  0.0000000    
-1.7600264      1.2899787  0.0000000    
-1.6841153      1.2651893  0.0000000    
-1.6854756      1.2045871  0.0000000    
-1.4992818      1.1075607  0.0000000    
-1.8225277     0.97387940  0.0000000    
-1.6044326     0.81397426  0.0000000    
-1.6438919     0.71319148  0.0000000    
-1.7969439     0.77347946  0.0000000    
-1.8609947     0.81161999  0.0000000    
-.93713130     0.82532302  0.0000000    
-.88378106     0.81055642  0.0000000    
-1.3310781     0.77232964  0.0000000    
-.75209665     0.70045690  0.0000000    
-.84148653     0.61373642  0.0000000    
-1.1350065     0.53008153  0.0000000    
-1.4937736     0.62516307  0.0000000    
-1.1712698     0.70549003  0.0000000    
-.46650279     0.75595134 0.26781076    
-.38212623     0.77082184 0.32748559    
-.30496718     0.75636768 0.45543104    
