pygeostat_saved_data
3
Estimate
EstimationVariance
Back Transform
-2.045613 0.883463 0.000000
-1.115697 0.873550 0.000000
-1.075667 0.862554 0.000000
-0.637979 0.845677 0.174696
-0.882746 0.818174 0.000000
-0.825834 0.776407 0.000000
-0.702630 0.718697 0.000000
-1.630526 0.643422 0.000000
-1.001141 0.558422 0.000000
-0.950468 0.690010 0.000000
-0.993573 0.755239 0.000000
-1.327083 0.795276 0.000000
-1.493609 0.806626 0.000000
-1.641740 0.786645 0.000000
-0.990613 0.735924 0.000000
-2.024466 0.665309 0.000000
-1.096940 0.586420 0.000000
-1.098742 0.676078 0.000000
-1.155346 0.750869 0.000000
-0.662824 0.803887 0.000000
-0.549396 0.824956 0.237411
-0.464149 0.805101 0.269413
-0.383174 0.756296 0.355356
-0.343762 0.679169 0.401200
-0.295964 0.589135 0.469157
-0.267860 0.634370 0.483793
-0.237721 0.700370 0.508754
-0.260487 0.743871 0.488608
-0.296580 0.761563 0.468868
-0.372001 0.744357 0.372020
-0.455845 0.700970 0.274837
-0.570551 0.634204 0.227142
-0.700949 0.593582 0.000000
-1.850842 0.683124 0.000000
-0.931423 0.758651 0.000000
-1.746175 0.807191 0.000000
-1.777612 0.825498 0.000000
-1.484475 0.808958 0.000000
-1.910962 0.763670 0.000000
-1.018536 0.693963 0.000000
-2.544477 0.566336 0.000000
-0.814137 0.658721 0.000000
-0.775204 0.739616 0.000000
-0.926729 0.803778 0.000000
-1.751643 0.850068 0.000000
-1.112977 0.879756 0.000000
-0.750368 0.897384 0.000000
-1.854265 0.907217 0.000000
-1.671735 0.913731 0.000000
-1.038757 0.922291 0.000000
-0.877841 0.873610 0.000000
-0.674509 0.862859 0.000000
-0.520331 0.852992 0.248100
-0.495968 0.834389 0.251826
-0.548343 0.803629 0.237880
-0.604591 0.756252 0.205919
-1.040270 0.689848 0.000000
-0.889709 0.606071 0.000000
-1.119744 0.562636 0.000000
-1.444162 0.656132 0.000000
-1.657633 0.728881 0.000000
-0.878151 0.773737 0.000000
-0.966415 0.788261 0.000000
-1.537402 0.770644 0.000000
-0.871513 0.710616 0.000000
-0.826415 0.628071 0.000000
