pygeostat_saved_data
3
Estimate
EstimationVariance
Back Transform
-2.981677 1.000000 -2.981677
-2.217379 1.000000 -2.217379
-2.185986 1.000000 -2.185986
-1.814133 0.999999 -1.814133
-1.985558 0.999998 -1.985558
-1.907024 0.999994 -1.907024
-1.767237 0.999979 -1.767237
-2.466377 0.999948 -2.466377
-1.556791 0.999876 -1.556791
-1.473996 0.999718 -1.473996
-1.388052 0.999385 -1.388052
-1.295356 0.998710 -1.295356
-1.205481 0.997402 -1.205481
-1.115984 0.994973 -1.115984
-1.025306 0.990653 -1.025306
-0.935487 0.983309 -0.935487
-0.843467 0.971373 -0.843467
-0.748969 0.952859 -0.748969
-0.649468 0.925470 -0.649468
-0.543586 0.886914 -0.543586
-0.436477 0.835334 -0.436477
-0.325459 0.769937 -0.325459
-0.215405 0.691640 -0.215405
-0.108042 0.603482 -0.108042
-0.001066 0.510784 -0.001066
0.095267 0.420577 0.095267
0.192056 0.341922 0.192056
0.260405 0.283190 0.260405
0.302544 0.245341 0.302544
0.336639 0.227827 0.336639
0.343552 0.226523 0.343552
0.342998 0.234379 0.342998
0.325556 0.244061 0.325556
0.297749 0.249560 0.297749
0.257880 0.247519 0.257880
0.193965 0.240848 0.193965
0.137194 0.232484 0.137194
0.077522 0.226849 0.077522
0.017025 0.226818 0.017025
-0.037935 0.231059 -0.037935
-0.087264 0.237147 -0.087264
-0.127848 0.241191 -0.127848
-0.161181 0.240753 -0.161181
-0.192705 0.235941 -0.192705
-0.223335 0.228941 -0.223335
-0.236237 0.224626 -0.236237
-0.265428 0.224636 -0.265428
-0.310155 0.228987 -0.310155
-0.332725 0.236036 -0.332725
-0.349992 0.240919 -0.349992
-0.366047 0.241421 -0.366047
-0.380969 0.236895 -0.380969
-0.370652 0.231186 -0.370652
-0.353337 0.227162 -0.353337
-0.322962 0.227667 -0.322962
-0.301749 0.232295 -0.301749
-0.264464 0.239050 -0.264464
-0.233045 0.244867 -0.233045
-0.192153 0.245908 -0.192153
-0.143084 0.242007 -0.143084
-0.093360 0.236959 -0.093360
-0.037133 0.233591 -0.037133
0.030664 0.234431 0.030664
0.078218 0.239797 0.078218
0.128902 0.247333 0.128902
0.180353 0.254235 0.180353
0.243464 0.256515 0.243464
0.302866 0.254040 0.302866
0.338449 0.250010 0.338449
0.374639 0.246938 0.374639
0.388591 0.246924 0.388591
0.391276 0.249996 0.391276
0.373461 0.254347 0.373461
0.353743 0.257319 0.353743
0.307546 0.255673 0.307546
0.239682 0.249513 0.239682
0.177806 0.242613 0.177806
0.108556 0.237564 0.108556
0.027074 0.236612 0.027074
-0.061390 0.239596 -0.061390
-0.152021 0.244127 -0.152021
-0.235472 0.246878 -0.235472
-0.314478 0.245400 -0.314478
-0.420341 0.240091 -0.420341
-0.524877 0.233417 -0.524877
-0.632205 0.228748 -0.632205
-0.741900 0.228664 -0.741900
-0.872586 0.234005 -0.872586
-1.007436 0.241970 -1.007436
-1.152710 0.248203 -1.152710
-1.293875 0.248985 -1.293875
-1.673179 0.243235 -1.673179
-2.086187 0.233647 -2.086187
-1.370770 0.225606 -1.370770
-1.313346 0.226928 -1.313346
-1.828824 0.244566 -1.828824
-1.856606 0.271454 -1.856606
-1.353519 0.331654 -1.353519
-2.000998 0.409548 -2.000998
-1.702213 0.509950 -1.702213
-1.827284 1.000000 -1.827284
-1.639728 1.000000 -1.639728
-2.058128 1.000000 -2.058128
-3.873612 0.999999 -3.873612
-2.357134 0.999997 -2.357134
-1.776291 0.999993 -1.776291
-1.671163 0.999976 -1.671163
-1.591122 0.999941 -1.591122
-1.492440 0.999862 -1.492440
-1.396418 0.999686 -1.396418
-1.299645 0.999316 -1.299645
-1.209545 0.998566 -1.209545
-1.123453 0.997111 -1.123453
-1.037738 0.994408 -1.037738
-0.954108 0.989605 -0.954108
-0.870209 0.981438 -0.870209
-0.781170 0.968166 -0.781170
-0.688347 0.947578 -0.688347
-0.591070 0.917134 -0.591070
-0.488047 0.874268 -0.488047
-0.381467 0.816937 -0.381467
-0.268045 0.744252 -0.268045
-0.159500 0.657255 -0.159500
-0.051677 0.559344 -0.051677
0.051574 0.456408 0.051574
0.146366 0.356293 0.146366
0.257755 0.258513 0.257755
0.330381 0.192232 0.330381
0.357698 0.157323 0.357698
0.378218 0.137933 0.378218
0.383799 0.136523 0.383799
0.362461 0.145391 0.362461
0.341098 0.156191 0.341098
0.291776 0.161816 0.291776
0.233621 0.160443 0.233621
0.163143 0.153021 0.163143
0.092522 0.143736 0.092522
0.020668 0.137471 0.020668
-0.046241 0.137448 -0.046241
-0.111786 0.141801 -0.111786
-0.163374 0.148680 -0.163374
-0.203747 0.153048 -0.203747
-0.240811 0.152587 -0.240811
-0.271822 0.147342 -0.271822
-0.301212 0.139835 -0.301212
-0.310461 0.135071 -0.310461
-0.337928 0.135073 -0.337928
-0.382295 0.139873 -0.382295
-0.407376 0.146909 -0.407376
-0.421783 0.152684 -0.421783
-0.429529 0.153168 -0.429529
-0.440072 0.148413 -0.440072
-0.428723 0.142044 -0.428723
-0.407890 0.137821 -0.407890
-0.371990 0.138121 -0.371990
-0.351494 0.143301 -0.351494
-0.306409 0.150687 -0.306409
-0.266038 0.156900 -0.266038
-0.219008 0.158071 -0.219008
-0.167631 0.154041 -0.167631
-0.112006 0.148491 -0.112006
-0.045719 0.144745 -0.045719
0.017379 0.145685 0.017379
0.084398 0.151601 0.084398
0.141248 0.159900 0.141248
0.207390 0.167217 0.207390
0.274235 0.169732 0.274235
0.337441 0.167228 0.337441
0.381779 0.162739 0.381779
0.429028 0.159311 0.429028
0.449821 0.159296 0.449821
0.450127 0.162744 0.450127
0.452646 0.167570 0.452646
0.442046 0.170603 0.442046
0.382179 0.168323 0.382179
