pygeostat_saved_data
3
Estimate
EstimationVariance
Back Transform
-3.085630 1.000000 0.000000
-2.319512 1.000000 0.000000
-2.287989 1.000000 0.000000
-1.934272 0.999999 0.000000
-2.097990 0.999998 0.000000
-2.021855 0.999994 0.000000
-1.888282 0.999979 0.000000
-2.561739 0.999948 0.000000
-1.992355 0.999878 0.000000
-1.891433 0.999722 0.000000
-1.880320 0.999394 0.000000
-2.087302 0.998705 0.000000
-2.202216 0.997392 0.000000
-2.295615 0.994952 0.000000
-1.802443 0.990615 0.000000
-2.609986 0.983241 0.000000
-1.686817 0.971257 0.000000
-1.524150 0.952675 0.000000
-1.351549 0.925188 0.000000
-1.179480 0.886488 0.079986
-1.015930 0.834721 0.221273
-0.855856 0.769102 0.380638
-0.699552 0.690539 0.530888
-0.543307 0.602102 0.643886
-0.415186 0.515995 0.757519
-0.276574 0.427038 0.885441
-0.148380 0.348271 0.980349
-0.011024 0.281581 1.086450
0.073226 0.243755 1.168298
0.142124 0.226343 1.217742
0.200740 0.225111 1.268144
0.237952 0.233062 1.308063
0.245979 0.242644 1.310072
0.235851 0.248021 1.307940
0.211408 0.246612 1.281224
0.174381 0.239511 1.250375
0.128368 0.230307 1.205192
0.070369 0.224559 1.168021
0.011443 0.224556 1.096300
-0.052202 0.228785 1.030753
-0.110393 0.235529 1.005882
-0.163285 0.240021 0.959629
-0.211235 0.240062 0.929847
-0.255327 0.235646 0.907613
-0.296322 0.228959 0.862652
-0.327438 0.224758 0.840353
-0.366650 0.224741 0.805335
-0.419780 0.228908 0.752257
-0.456809 0.235646 0.716090
-0.484884 0.240141 0.703551
-0.500100 0.240196 0.681438
-0.506185 0.235812 0.674592
-0.501924 0.229167 0.679558
-0.479529 0.225010 0.707026
-0.448173 0.225009 0.719670
-0.422806 0.229137 0.751100
-0.384580 0.235835 0.793984
-0.333974 0.240205 0.829520
-0.279055 0.240147 0.884386
-0.218355 0.235653 0.923837
-0.147228 0.228926 0.981800
-0.086025 0.224753 1.014953
-0.025530 0.224779 1.065029
0.025809 0.229032 1.120063
0.062040 0.235740 1.157632
0.096487 0.240184 1.190331
0.130570 0.240176 1.205686
0.162260 0.235695 1.245916
0.199482 0.228912 1.267176
0.221196 0.224767 1.297776
0.228227 0.224763 1.304654
0.219282 0.228986 1.297144
0.209336 0.235749 1.276447
0.201974 0.240251 1.269404
0.184370 0.240285 1.256038
0.166506 0.235859 1.246763
0.145971 0.229181 1.222847
0.118958 0.224973 1.202284
0.091312 0.224960 1.183187
0.042410 0.229137 1.134038
-0.006827 0.235794 1.087412
-0.063842 0.240211 1.024483
-0.132570 0.240172 0.985712
-0.209123 0.235705 0.931569
-0.301321 0.228902 0.856966
-0.374158 0.224737 0.796400
-0.468818 0.224748 0.713533
-0.573561 0.230471 0.631761
-0.688283 0.239696 0.543712
-0.793825 0.246790 0.430945
-0.908023 0.248231 0.299045
-1.029826 0.242850 0.206485
-1.176798 0.233280 0.083806
-1.339568 0.225359 0.000000
-1.478373 0.226661 0.000000
-1.963846 0.244059 0.000000
-2.000365 0.281909 0.000000
-1.546826 0.348595 0.000000
-2.159559 0.427333 0.000000
-1.825318 0.516250 0.000000
-1.947376 1.000000 0.000000
-1.770272 1.000000 0.000000
-2.166612 1.000000 0.000000
-3.962957 0.999999 0.000000
-2.453873 0.999997 0.000000
-1.896483 0.999993 0.000000
-1.800162 0.999976 0.000000
-2.189310 0.999942 0.000000
-1.973837 0.999863 0.000000
-1.971293 0.999689 0.000000
-1.835105 0.999322 0.000000
-2.285786 0.998562 0.000000
-1.939438 0.997103 0.000000
-2.098309 0.994393 0.000000
-1.928306 0.989577 0.000000
-1.673175 0.981385 0.000000
-1.516328 0.968077 0.000000
-1.348041 0.947435 0.000000
-1.183547 0.916910 0.075367
-1.021877 0.873947 0.215563
-0.866521 0.816474 0.374993
-0.712054 0.743635 0.518842
-0.558603 0.656446 0.637918
-0.406126 0.558334 0.765834
-0.262116 0.455213 0.900469
-0.128675 0.354931 0.988251
-0.018540 0.272914 1.067623
0.087331 0.203919 1.180077
0.180028 0.156233 1.254498
0.231159 0.136920 1.306661
0.274384 0.135594 1.333870
0.292904 0.144425 1.360436
0.284953 0.155046 1.352053
0.253351 0.160975 1.313980
0.209858 0.159349 1.276919
0.160982 0.151028 1.245044
0.095196 0.141415 1.186619
0.025444 0.135005 1.120043
-0.043358 0.135004 1.044144
-0.113810 0.139646 1.003607
-0.174850 0.146880 0.949296
-0.231591 0.151771 0.919235
-0.277392 0.151812 0.884692
-0.317550 0.146999 0.845080
-0.358318 0.139812 0.810523
-0.379160 0.135196 0.796015
-0.414242 0.135182 0.757735
-0.460251 0.139784 0.714867
-0.495561 0.147006 0.688896
-0.518068 0.151893 0.667776
-0.527602 0.151954 0.664296
-0.528949 0.147181 0.664054
-0.517707 0.140044 0.667895
-0.492009 0.135481 0.698093
-0.453014 0.135480 0.717563
-0.418537 0.140044 0.753624
-0.378831 0.147206 0.796129
-0.324048 0.151958 0.840874
-0.257001 0.151872 0.906165
-0.191749 0.146979 0.942385
-0.114919 0.139754 1.002776
-0.046221 0.135152 1.034933
0.020449 0.135184 1.118434
0.077159 0.139835 1.171480
0.129632 0.147066 1.205471
0.176660 0.151919 1.251372
0.220430 0.151921 1.297581
0.264070 0.147060 1.325564
0.314768 0.139836 1.389656
0.345175 0.135209 1.430070
0.360013 0.135227 1.438572
0.372205 0.139857 1.451881
0.373388 0.147093 1.452772
0.369942 0.151967 1.450446
0.361104 0.151968 1.441073
0.340166 0.147114 1.427490
0.322584 0.139924 1.399505
0.299464 0.135283 1.374401
0.256574 0.135265 1.316726
0.194666 0.139876 1.265528
0.134400 0.147043 1.207443
0.066238 0.151888 1.162205
-0.013068 0.151874 1.079987
-0.117507 0.146564 0.998968
-0.206642 0.139802 0.936213
-0.294892 0.135184 0.866957
-0.402219 0.135178 0.772469
-0.505767 0.141585 0.674920
-0.613635 0.151144 0.604002
-0.734232 0.159482 0.482980
-0.852093 0.161107 0.383341
-0.973865 0.155182 0.249639
-1.110150 0.144521 0.116358
-1.272994 0.135744 0.000000
-1.434931 0.137096 0.000000
-1.882290 0.156406 0.000000
-1.858209 0.204103 0.000000
-1.534601 0.273083 0.000000
-1.626683 0.355177 0.000000
-2.239792 0.455391 0.000000
-1.891941 1.000000 0.000000
-2.171518 1.000000 0.000000
-2.290561 1.000000 0.000000
-1.801482 0.999999 0.000000
-2.653734 0.999997 0.000000
-2.421035 0.999993 0.000000
-2.168951 0.999975 0.000000
-2.212604 0.999938 0.000000
-1.776600 0.999852 0.000000
-1.945854 0.999665 0.000000
-1.775918 0.999269 0.000000
-1.906790 0.998459 0.000000
-3.012996 0.996896 0.000000
-1.826582 0.993993 0.000000
-1.666631 0.988833 0.000000
-1.514609 0.980061 0.000000
-1.346530 0.965808 0.000000
-1.187624 0.943694 0.075222
-1.034742 0.911000 0.196523
-0.883619 0.864979 0.361673
-0.731021 0.803435 0.484384
-0.576457 0.725449 0.627084
-0.420689 0.632131 0.751824
-0.276170 0.527135 0.885826
-0.140780 0.416812 0.981923
-0.010742 0.309566 1.086545
0.102704 0.214597 1.194968
0.198406 0.139987 1.266622
0.265802 0.092642 1.327356
0.311827 0.072063 1.387937
0.326094 0.070617 1.402022
0.319440 0.080067 1.394786
0.295973 0.091449 1.363516
0.249833 0.097725 1.313187
0.191372 0.095929 1.263852
0.125648 0.087258 1.204911
0.045184 0.076912 1.141056
-0.031136 0.069998 1.055778
-0.107559 0.069997 1.006709
-0.176518 0.076908 0.948199
-0.245222 0.082433 0.910995
-0.299029 0.087572 0.858627
-0.345024 0.087611 0.825290
-0.380297 0.082530 0.795621
-0.398051 0.077076 0.775259
-0.431121 0.070171 0.744959
-0.461387 0.070156 0.714629
-0.483332 0.077039 0.704886
-0.532784 0.082533 0.662051
-0.553800 0.087685 0.639837
-0.556856 0.087753 0.638512
-0.550988 0.082720 0.640982
-0.534721 0.077337 0.661083
-0.506897 0.070476 0.673221
-0.463673 0.070480 0.714150
-0.425687 0.075346 0.749434
-0.378568 0.082519 0.796221
-0.319485 0.087725 0.843568
-0.252461 0.087629 0.908576
-0.180363 0.082471 0.946831
-0.096017 0.076967 1.011249
-0.024207 0.070081 1.065663
0.051321 0.070115 1.147610
0.125475 0.077054 1.204857
0.180657 0.082567 1.254619
0.238452 0.087687 1.308085
0.296986 0.087697 1.366505
0.358061 0.082596 1.435368
0.418952 0.075146 1.495083
0.463508 0.070217 1.551392
0.494766 0.070222 1.576939
0.523451 0.077119 1.591365
0.533861 0.082384 1.602042
0.536279 0.087714 1.603998
0.533945 0.087687 1.602110
0.521863 0.082350 1.590136
0.502449 0.075094 1.581216
0.472557 0.070130 1.556928
0.420496 0.070113 1.497707
0.342416 0.075044 1.428886
0.261298 0.082272 1.321527
0.179259 0.087604 1.253785
0.073369 0.087623 1.168336
-0.028061 0.082305 1.063027
-0.112438 0.077073 1.004823
-0.228180 0.070179 0.920368
-0.340117 0.070172 0.828005
-0.448753 0.077066 0.719263
-0.559987 0.087353 0.637258
-0.678602 0.096022 0.548572
-0.791513 0.097788 0.431353
-0.911174 0.091474 0.298059
-1.044491 0.080096 0.180590
-1.198436 0.070626 0.066832
-1.359573 0.072084 0.000000
-1.813263 0.092732 0.000000
-2.400828 0.140099 0.000000
-1.554556 0.214686 0.000000
-1.842093 0.309633 0.000000
-1.526169 0.416868 0.000000
-1.920830 1.000000 0.000000
-2.267024 1.000000 0.000000
-1.955622 1.000000 0.000000
-1.766522 0.999999 0.000000
-1.883994 0.999997 0.000000
-1.827983 0.999992 0.000000
-1.838116 0.999973 0.000000
-2.026171 0.999935 0.000000
-2.156780 0.999846 0.000000
-2.686618 0.999651 0.000000
-2.016937 0.999238 0.000000
-2.884998 0.998401 0.000000
-2.012033 0.996778 0.000000
-1.666524 0.993766 0.000000
-1.513607 0.988410 0.000000
-1.350090 0.979307 0.000000
-1.197234 0.964517 0.068138
-1.047921 0.941579 0.175954
-0.899747 0.907663 0.326276
-0.749064 0.859902 0.474393
-0.600158 0.796053 0.616472
-0.450748 0.715155 0.718030
-0.302549 0.618369 0.856121
-0.163499 0.509478 0.958773
-0.033626 0.395104 1.053987
0.083600 0.283964 1.177148
0.183112 0.185583 1.255083
0.258794 0.108345 1.318922
0.318606 0.057494 1.393134
0.361558 0.034646 1.441765
0.355879 0.033243 1.434725
0.328952 0.043087 1.409237
0.279972 0.054865 1.340804
0.225086 0.061339 1.299830
0.148732 0.059438 1.226973
0.068476 0.050625 1.166741
-0.017758 0.039827 1.067657
-0.101797 0.032619 1.008023
-0.179339 0.032618 0.946920
-0.248813 0.039823 0.909675
-0.318126 0.045265 0.844624
-0.369470 0.050564 0.802946
-0.409541 0.050586 0.760054
-0.442969 0.045339 0.722597
-0.452996 0.039966 0.717567
-0.481502 0.032763 0.706113
-0.506493 0.032748 0.674241
-0.524729 0.039932 0.664813
-0.569648 0.045356 0.632920
-0.586934 0.050651 0.625079
-0.585781 0.050720 0.625516
-0.581028 0.045518 0.626155
-0.558639 0.040231 0.637901
-0.527019 0.033073 0.664401
-0.483496 0.033072 0.704768
-0.431219 0.040232 0.744882
-0.395964 0.045530 0.777257
-0.331811 0.050679 0.833599
-0.263136 0.050578 0.899768
-0.186535 0.045253 0.946248
-0.101962 0.039832 1.007897
-0.024174 0.032649 1.065678
0.058541 0.032681 1.156319
0.142053 0.039920 1.217651
0.207190 0.045358 1.275398
0.280464 0.050662 1.341513
0.353396 0.050677 1.434109
0.431960 0.045395 1.512460
0.504548 0.040026 1.582177
0.559956 0.032834 1.623860
0.607148 0.032835 1.669844
0.645940 0.040029 1.694500
0.666722 0.045403 1.704726
0.670118 0.050674 1.705992
0.672380 0.050641 1.706613
0.660629 0.045362 1.703204
0.657162 0.039914 1.700249
0.610791 0.032680 1.675888
0.550534 0.032663 1.615345
0.477885 0.039861 1.562219
0.367010 0.045287 1.449050
0.272109 0.050557 1.333582
0.161062 0.050587 1.245099
0.046376 0.045346 1.143921
-0.043504 0.039976 1.044122
-0.162968 0.032784 0.960899
-0.278680 0.032778 0.884455
-0.393563 0.039962 0.784544
-0.503919 0.050706 0.676762
-0.621304 0.059506 0.590468
-0.737433 0.061387 0.482844
-0.854659 0.054888 0.381425
-0.988148 0.043112 0.235752
-1.135129 0.033226 0.095457
-1.293347 0.034655 0.000000
-2.005138 0.057533 0.000000
-1.523247 0.108394 0.000000
-1.602115 0.185633 0.000000
-1.939367 0.284008 0.000000
-1.648260 0.395147 0.000000
-1.983732 1.000000 0.000000
-1.879360 1.000000 0.000000
-1.861171 1.000000 0.000000
-2.105871 0.999999 0.000000
-1.997091 0.999997 0.000000
-1.889446 0.999992 0.000000
-2.218104 0.999973 0.000000
-1.955549 0.999934 0.000000
-2.247482 0.999844 0.000000
-2.136988 0.999646 0.000000
-2.168772 0.999228 0.000000
-2.440224 0.998382 0.000000
-1.669950 0.996740 0.000000
-1.517957 0.993693 0.000000
-1.357894 0.988275 0.000000
-1.207574 0.979065 0.055976
-1.060888 0.964103 0.159322
-0.916290 0.940900 0.296875
-0.770541 0.906591 0.457004
-0.621534 0.858307 0.590199
-0.474916 0.793739 0.708168
-0.330125 0.711893 0.838488
-0.192639 0.613994 0.942110
-0.062090 0.503891 1.025063
0.057130 0.388247 1.155492
0.159782 0.275875 1.242632
0.245748 0.176447 1.309940
0.321255 0.098490 1.397592
0.357865 0.047172 1.435309
0.374785 0.023148 1.454054
0.357682 0.021501 1.435253
0.313255 0.031519 1.388858
0.248803 0.043455 1.312145
0.177788 0.049981 1.252419
0.088443 0.048037 1.181298
-0.004503 0.039149 1.088100
-0.095912 0.028231 1.011278
-0.180275 0.020877 0.946839
-0.256971 0.020876 0.906192
-0.323915 0.028193 0.840878
-0.391023 0.033690 0.788378
-0.440847 0.038968 0.725784
-0.480311 0.038998 0.706903
-0.512585 0.033768 0.668763
-0.509789 0.028304 0.669274
-0.530841 0.020994 0.663123
-0.551067 0.020972 0.640976
-0.565722 0.028268 0.633461
-0.608036 0.033764 0.613878
-0.625479 0.039035 0.583793
-0.622537 0.039102 0.589025
-0.617676 0.033939 0.595288
-0.589551 0.028557 0.623417
-0.557585 0.021286 0.638292
-0.513777 0.021283 0.668698
-0.460773 0.028554 0.714757
-0.424853 0.033934 0.750604
-0.368267 0.039132 0.804052
-0.291349 0.038981 0.872338
-0.222543 0.033682 0.922200
-0.133357 0.028187 0.984998
-0.051390 0.020891 1.031488
0.033095 0.020922 1.127675
0.122377 0.028273 1.202827
0.194912 0.033784 1.265663
0.281641 0.039056 1.343212
0.363937 0.039072 1.445294
0.444324 0.033817 1.528350
0.526257 0.028381 1.596143
0.591732 0.021080 1.643085
0.650696 0.021085 1.698967
0.694220 0.028392 1.711568
0.726605 0.033866 1.725385
0.741358 0.039110 1.732825
0.746057 0.039108 1.733690
0.742278 0.033852 1.732864
0.741182 0.028360 1.732818
0.700079 0.021025 1.712435
0.637708 0.021008 1.691354
0.561640 0.028313 1.624224
0.448005 0.033780 1.533739
0.346772 0.039026 1.431020
0.230134 0.039096 1.306411
0.118283 0.033804 1.201917
0.020926 0.028333 1.118735
-0.100051 0.021024 1.009350
-0.223338 0.021020 0.921905
-0.338645 0.028320 0.828208
-0.450606 0.039250 0.718060
-0.569570 0.048133 0.632922
-0.686150 0.050084 0.545418
-0.806475 0.043546 0.421708
-0.938887 0.031631 0.283285
-1.089486 0.021606 0.129567
-1.256388 0.023292 0.000000
-1.433872 0.047332 0.000000
-1.976681 0.098655 0.000000
-2.187838 0.176654 0.000000
-2.156286 0.276064 0.000000
-1.827681 0.388404 0.000000
-3.116071 1.000000 0.000000
-1.780369 1.000000 0.000000
-2.505224 1.000000 0.000000
-2.117137 0.999999 0.000000
-2.055788 0.999997 0.000000
-2.473266 0.999992 0.000000
-1.978048 0.999973 0.000000
-2.351345 0.999935 0.000000
-2.061136 0.999846 0.000000
-1.924650 0.999648 0.000000
-2.342572 0.999232 0.000000
-1.678423 0.998391 0.000000
-1.526506 0.996759 0.000000
-1.366826 0.993728 0.000000
-1.217646 0.988340 0.017300
-1.073439 0.979182 0.143322
-0.932282 0.964303 0.286643
-0.786091 0.941232 0.437203
-0.642278 0.907116 0.573897
-0.499371 0.859096 0.681674
-0.358050 0.794887 0.810649
-0.222532 0.713531 0.922204
-0.091564 0.616178 1.013380
0.028283 0.506689 1.123808
0.136068 0.391634 1.208691
0.224351 0.279903 1.299183
0.303053 0.181075 1.379430
0.345704 0.103523 1.430460
0.367187 0.052519 1.449210
0.360643 0.028687 1.440155
0.324597 0.027129 1.400500
0.266187 0.037257 1.327678
0.196635 0.050633 1.265945
0.106184 0.057186 1.195014
0.009981 0.055058 1.096090
-0.087957 0.046200 1.014525
-0.182850 0.035323 0.946615
-0.266316 0.028051 0.897690
-0.340115 0.028005 0.828006
-0.402595 0.035292 0.772043
-0.456304 0.046184 0.716332
-0.513234 0.046170 0.668727
-0.550788 0.046199 0.640995
-0.576237 0.040921 0.627491
-0.566356 0.035375 0.633217
-0.584933 0.028088 0.625836
-0.601602 0.028070 0.616159
-0.612510 0.035339 0.607494
-0.652334 0.040901 0.563336
-0.667443 0.046232 0.554485
-0.668646 0.046286 0.553537
-0.653189 0.041058 0.563047
-0.628702 0.035592 0.583704
-0.596360 0.028341 0.617955
-0.556863 0.028339 0.638510
-0.507530 0.035614 0.671622
-0.471005 0.041058 0.712906
-0.416976 0.046302 0.756018
-0.351877 0.046223 0.818318
-0.274276 0.040883 0.888995
-0.187435 0.035327 0.946145
-0.105239 0.028064 1.007296
-0.018478 0.028092 1.067625
0.072451 0.035403 1.168099
0.147673 0.040982 1.225391
0.237862 0.046296 1.308059
0.320319 0.046308 1.396247
0.405623 0.040997 1.483826
0.492549 0.035463 1.570184
0.563210 0.028197 1.624667
0.629908 0.028209 1.688422
0.688860 0.035512 1.711300
0.732892 0.041091 1.727869
0.754888 0.046434 1.747083
0.771118 0.046538 1.757576
0.787358 0.041271 1.762739
0.789743 0.035757 1.763252
0.755504 0.028487 1.748016
0.703503 0.028467 1.713739
0.633331 0.035712 1.688812
0.520241 0.041213 1.588882
0.415274 0.046441 1.492292
0.299652 0.046401 1.375019
0.189361 0.041020 1.261814
0.083145 0.035438 1.176653
-0.037575 0.028127 1.051902
-0.162779 0.028123 0.961659
-0.281683 0.035415 0.883901
-0.399126 0.046351 0.774715
-0.522232 0.055271 0.665583
-0.638287 0.057450 0.575667
-0.765162 0.050966 0.459194
-0.899951 0.037702 0.325015
-1.046428 0.027659 0.177254
-1.221995 0.029257 0.017300
-1.401093 0.053131 0.000000
-1.595497 0.104134 0.000000
-1.526091 0.181681 0.000000
-1.934767 0.280491 0.000000
-2.019204 0.392164 0.000000
-1.970007 1.000000 0.000000
-2.066428 1.000000 0.000000
-1.819094 1.000000 0.000000
-2.886193 0.999999 0.000000
-3.170219 0.999997 0.000000
-2.818460 0.999992 0.000000
-2.870347 0.999974 0.000000
-2.213837 0.999936 0.000000
-2.955979 0.999847 0.000000
-2.063999 0.999653 0.000000
-1.686978 0.999243 0.000000
-1.536991 0.998412 0.000000
-1.376662 0.996802 0.000000
-1.228458 0.993810 0.016997
-1.085914 0.988493 0.130387
-0.945410 0.979455 0.282058
-0.802510 0.964770 0.422849
-0.661669 0.941996 0.557768
-0.520825 0.908321 0.666341
-0.381451 0.860921 0.795221
-0.247513 0.797535 0.909858
-0.119007 0.717215 0.997735
0.000253 0.621101 1.091697
0.106501 0.512980 1.195041
0.205437 0.399437 1.275300
0.279414 0.289047 1.340039
0.329143 0.191371 1.409493
0.355729 0.114709 1.434688
0.356510 0.064297 1.434900
0.322664 0.040836 1.399619
0.280307 0.039753 1.341287
0.196770 0.049671 1.265958
0.110465 0.062096 1.195825
0.019953 0.072786 1.118121
-0.081266 0.070817 1.015847
-0.180263 0.062078 0.946840
-0.272186 0.051348 0.892300
-0.353521 0.044174 0.816436
-0.426359 0.044137 0.748599
-0.485844 0.051317 0.702685
-0.534588 0.062059 0.661146
-0.586465 0.062445 0.625257
-0.622497 0.062500 0.589071
-0.615451 0.062122 0.599026
-0.627949 0.051397 0.583725
-0.643345 0.044203 0.573386
-0.653366 0.044197 0.562985
-0.668728 0.051360 0.553472
-0.678794 0.062083 0.548521
-0.720216 0.062488 0.497288
-0.718823 0.062512 0.498459
-0.705372 0.057195 0.519419
-0.681867 0.051541 0.547231
-0.649168 0.044383 0.564447
-0.610143 0.044385 0.610641
-0.568029 0.051564 0.632967
-0.513984 0.062260 0.668686
-0.484307 0.062580 0.704057
-0.429022 0.062620 0.746634
-0.338819 0.062197 0.828167
-0.261498 0.051477 0.900894
-0.178008 0.044325 0.947068
-0.088223 0.044346 1.014464
0.002612 0.051539 1.093444
0.096391 0.062288 1.190056
0.172646 0.062664 1.250213
0.257611 0.062611 1.318198
0.343610 0.057201 1.429174
0.440401 0.051482 1.520441
0.518225 0.044315 1.587769
0.593440 0.044345 1.643310
0.666458 0.051582 1.704621
0.723152 0.057403 1.725153
0.766289 0.062926 1.757502
0.794820 0.063167 1.767853
0.822803 0.057948 1.774533
0.837523 0.052369 1.787583
0.813387 0.045250 1.770965
0.768888 0.045243 1.757542
0.702443 0.052327 1.713060
0.594780 0.057893 1.643487
0.484308 0.063163 1.564263
0.375535 0.062867 1.455490
0.284054 0.062311 1.348993
0.156208 0.051477 1.231026
0.022713 0.044244 1.119864
-0.097355 0.044248 1.010787
-0.224683 0.051462 0.921444
-0.352177 0.062297 0.818149
-0.474768 0.071230 0.708229
