pygeostat_saved_data
3
Estimate
EstimationVariance
Back Transform
-3.103386 1.000000 0.000000
-2.331453 0.999999 0.000000
-2.298937 0.999998 0.000000
-1.942516 0.999997 0.000000
-2.108925 0.999994 0.000000
-2.032361 0.999987 0.000000
-1.897167 0.999971 0.000000
-2.575732 0.999935 0.000000
-2.002011 0.999857 0.000000
-1.900301 0.999692 0.000000
-1.889071 0.999349 0.000000
-2.099541 0.998635 0.000000
-2.216546 0.997291 0.000000
-2.311194 0.994811 0.000000
-1.814301 0.990422 0.000000
-2.627254 0.982984 0.000000
-1.697343 0.970922 0.000000
-1.536255 0.952235 0.000000
-1.362270 0.924643 0.000000
-1.188895 0.885830 0.074751
-1.024172 0.833949 0.213836
-0.863470 0.768214 0.375289
-0.706159 0.689557 0.519345
-0.549047 0.601051 0.641175
-0.420371 0.514812 0.751976
-0.281059 0.425819 0.884016
-0.152172 0.347047 0.975526
-0.013612 0.280530 1.077595
0.071548 0.242741 1.168065
0.141286 0.225362 1.216818
0.200928 0.224141 1.268336
0.238556 0.232106 1.308090
0.246745 0.241687 1.310512
0.236739 0.247057 1.308007
0.212593 0.245670 1.284221
0.175565 0.238565 1.250485
0.128967 0.229408 1.205319
0.071273 0.223657 1.168055
0.010306 0.223659 1.096137
-0.052435 0.227939 1.030542
-0.110760 0.234625 1.005742
-0.164093 0.239108 0.956391
-0.212205 0.239150 0.928690
-0.256692 0.234744 0.906437
-0.298615 0.228115 0.858845
-0.330775 0.223854 0.837851
-0.370213 0.223844 0.801362
-0.423069 0.228052 0.751100
-0.459502 0.234742 0.715024
-0.487823 0.239228 0.700486
-0.502972 0.239284 0.678295
-0.509252 0.234910 0.669394
-0.505512 0.228323 0.675120
-0.484330 0.224113 0.704037
-0.452126 0.224113 0.717746
-0.425484 0.228285 0.749719
-0.386881 0.234937 0.792319
-0.335354 0.239297 0.829066
-0.279881 0.239242 0.884234
-0.218752 0.234755 0.923680
-0.147551 0.228082 0.981506
-0.083074 0.223847 1.015485
-0.024814 0.223876 1.065372
0.026897 0.228188 1.120925
0.064120 0.234838 1.159158
0.098680 0.239278 1.191802
0.132780 0.239270 1.205969
0.164466 0.234795 1.246495
0.203119 0.228064 1.270980
0.225477 0.223872 1.300288
0.232150 0.223866 1.306972
0.222557 0.228140 1.298128
0.213606 0.234849 1.284274
0.205710 0.239336 1.275300
0.187431 0.239378 1.259800
0.169446 0.234959 1.247232
0.148386 0.228331 1.226456
0.123880 0.224077 1.203812
0.095066 0.224058 1.186246
0.039661 0.228267 1.132903
-0.002624 0.234897 1.090469
-0.059827 0.239307 1.026077
-0.128380 0.239265 0.988261
-0.205457 0.234806 0.937704
-0.297426 0.228051 0.859471
-0.371136 0.223837 0.799316
-0.465698 0.223853 0.713862
-0.570627 0.229574 0.632789
-0.685577 0.238757 0.545650
-0.792788 0.245845 0.431128
-0.907157 0.247293 0.299311
-1.030030 0.241910 0.206062
-1.178053 0.232336 0.082072
-1.341786 0.224399 0.000000
-1.481672 0.225681 0.000000
-1.969928 0.243044 0.000000
-2.007698 0.280864 0.000000
-1.556639 0.347348 0.000000
-2.174327 0.426089 0.000000
-1.838902 0.515042 0.000000
-1.956917 1.000000 0.000000
-1.778046 0.999999 0.000000
-2.177379 0.999998 0.000000
-3.988536 0.999997 0.000000
-2.467957 0.999993 0.000000
-1.905831 0.999985 0.000000
-1.808984 0.999967 0.000000
-2.201067 0.999928 0.000000
-1.983347 0.999841 0.000000
-1.980753 0.999656 0.000000
-1.843504 0.999273 0.000000
-2.300360 0.998487 0.000000
-1.951818 0.996994 0.000000
-2.111682 0.994242 0.000000
-1.940385 0.989370 0.000000
-1.685174 0.981110 0.000000
-1.526980 0.967717 0.000000
-1.357292 0.946977 0.000000
-1.191580 0.916344 0.072884
-1.030270 0.873252 0.205565
-0.873753 0.815654 0.366579
-0.718297 0.742706 0.498902
-0.563939 0.655429 0.634217
-0.411047 0.557258 0.759141
-0.266250 0.454115 0.897792
-0.124567 0.353859 0.989694
-0.021746 0.271691 1.065966
0.084731 0.202764 1.177643
0.178566 0.155351 1.253142
0.230464 0.136094 1.306491
0.274441 0.134795 1.333875
0.293269 0.143647 1.360516
0.285575 0.154277 1.353638
0.254348 0.160195 1.314310
0.210917 0.158558 1.279379
0.161635 0.150305 1.245490
0.095869 0.140681 1.188554
0.026055 0.134270 1.120076
-0.042858 0.134267 1.044218
-0.114054 0.138936 1.003390
-0.175415 0.146102 0.949018
-0.232149 0.150981 0.918953
-0.277996 0.151023 0.884581
-0.318602 0.146222 0.844247
-0.360162 0.139102 0.809127
-0.381568 0.134459 0.795181
-0.416770 0.134447 0.756333
-0.462774 0.139064 0.714338
-0.497668 0.146230 0.682116
-0.520112 0.151103 0.666725
-0.529636 0.151165 0.663787
-0.531242 0.146404 0.662901
-0.520401 0.139335 0.666569
-0.494660 0.134749 0.692803
-0.455828 0.134749 0.716561
-0.420590 0.139333 0.751871
-0.380306 0.146435 0.795618
-0.325251 0.151168 0.840843
-0.257738 0.151087 0.905410
-0.192040 0.146207 0.942295
-0.115098 0.139044 1.002649
-0.045688 0.134415 1.035079
0.021095 0.134448 1.118842
0.077956 0.139126 1.171968
0.131292 0.146293 1.205783
0.178352 0.151133 1.252942
0.221810 0.151137 1.297928
0.265874 0.146286 1.327416
0.317613 0.139125 1.391166
0.348747 0.134480 1.431871
0.363822 0.134495 1.445135
0.374831 0.139148 1.454142
0.376937 0.146320 1.458174
0.373600 0.151179 1.452935
0.364139 0.151188 1.445574
0.344247 0.146345 1.429386
0.326211 0.139212 1.402389
0.303971 0.134552 1.380311
0.261300 0.134532 1.321530
0.198008 0.139166 1.266417
0.138751 0.146275 1.212927
0.069607 0.151105 1.167816
-0.009703 0.151092 1.086894
-0.114239 0.145828 1.003259
-0.203620 0.139089 0.937792
-0.291905 0.134446 0.872295
-0.399200 0.134445 0.774677
-0.503452 0.140857 0.677517
-0.612384 0.150419 0.607883
-0.733071 0.158715 0.483352
-0.850799 0.160348 0.385125
-0.973331 0.154424 0.250075
-1.110656 0.143749 0.116204
-1.274058 0.134956 0.000000
-1.437344 0.136269 0.000000
-1.887578 0.155525 0.000000
-1.867969 0.202952 0.000000
-1.543233 0.271867 0.000000
-1.634904 0.354085 0.000000
-2.252048 0.454275 0.000000
-1.900817 1.000000 0.000000
-2.182757 0.999999 0.000000
-2.302693 0.999998 0.000000
-1.811331 0.999996 0.000000
-2.669321 0.999993 0.000000
-2.434822 0.999984 0.000000
-2.180971 0.999965 0.000000
-2.224532 0.999922 0.000000
-1.785213 0.999829 0.000000
-1.956163 0.999629 0.000000
-1.784908 0.999217 0.000000
-1.918584 0.998380 0.000000
-3.033034 0.996783 0.000000
-1.839267 0.993833 0.000000
-1.677996 0.988615 0.000000
-1.524733 0.979771 0.000000
-1.355285 0.965429 0.000000
-1.195895 0.943215 0.069591
-1.041822 0.910407 0.183573
-0.889592 0.864260 0.349534
-0.736066 0.802599 0.482902
-0.581920 0.724490 0.626115
-0.425338 0.631067 0.749923
-0.280053 0.526021 0.884202
-0.143935 0.415691 0.981800
-0.013608 0.308492 1.077615
0.100440 0.213617 1.193690
0.196649 0.139141 1.265946
0.264724 0.091928 1.326426
0.299228 0.071359 1.373622
0.326188 0.070044 1.402316
0.319652 0.079523 1.395206
0.296598 0.090925 1.365312
0.250500 0.097191 1.313706
0.192079 0.095377 1.264188
0.126074 0.086754 1.204955
0.045597 0.076392 1.142063
-0.030718 0.069469 1.057163
-0.107247 0.069471 1.006763
-0.176339 0.076388 0.948362
-0.245717 0.081825 0.910268
-0.299470 0.086945 0.858395
-0.345647 0.086984 0.824590
-0.381059 0.081924 0.795357
-0.399563 0.076557 0.774494
-0.432691 0.069645 0.743222
-0.462987 0.069623 0.714294
-0.484945 0.076514 0.703497
-0.534232 0.081928 0.661315
-0.555403 0.087058 0.638951
-0.558349 0.087126 0.638039
-0.552536 0.082114 0.640677
-0.536480 0.076820 0.659001
-0.506362 0.069952 0.674453
-0.465344 0.069961 0.713899
-0.427094 0.074808 0.748100
-0.380103 0.081937 0.795689
-0.320226 0.087103 0.843015
-0.252757 0.087010 0.908454
-0.180802 0.081866 0.946796
-0.095603 0.076447 1.011365
-0.023774 0.069555 1.065811
0.051820 0.069590 1.148046
0.125681 0.076536 1.204915
0.182007 0.081964 1.254874
0.239995 0.087068 1.308100
0.298550 0.087077 1.371387
0.359461 0.081993 1.437186
0.420921 0.074612 1.498365
0.466050 0.069699 1.551544
0.497504 0.069699 1.578555
0.526073 0.076601 1.595701
0.536112 0.081813 1.603864
0.538969 0.087088 1.605035
0.537097 0.087069 1.604660
0.524526 0.081784 1.592196
0.505072 0.074555 1.582403
0.475617 0.069608 1.561907
0.423699 0.069589 1.507206
0.344908 0.074505 1.429873
0.263690 0.081704 1.325063
0.182384 0.086984 1.254945
0.076876 0.087003 1.171308
-0.025683 0.081734 1.064956
-0.110441 0.076554 1.005863
-0.225861 0.069652 0.921040
-0.337784 0.069646 0.828413
-0.446769 0.076547 0.720615
-0.558662 0.086841 0.637890
-0.677430 0.095485 0.548881
-0.790784 0.097262 0.431481
-0.910888 0.090951 0.298153
-1.044638 0.079560 0.180338
-1.199121 0.070056 0.066088
-1.361122 0.071456 0.000000
-1.817134 0.092018 0.000000
-2.409014 0.139255 0.000000
-1.560649 0.213714 0.000000
-1.850528 0.308567 0.000000
-1.534444 0.415755 0.000000
-1.930262 1.000000 0.000000
-2.279051 0.999999 0.000000
-1.967190 0.999998 0.000000
-1.776654 0.999996 0.000000
-1.894453 0.999992 0.000000
-1.838011 0.999983 0.000000
-1.847497 0.999963 0.000000
-2.037718 0.999919 0.000000
-2.169519 0.999821 0.000000
-2.703290 0.999613 0.000000
-2.027709 0.999182 0.000000
-2.905156 0.998318 0.000000
-2.026165 0.996661 0.000000
-1.677974 0.993601 0.000000
-1.523877 0.988184 0.000000
-1.359070 0.979006 0.000000
-1.204979 0.964125 0.059381
-1.054414 0.941078 0.173044
-0.905232 0.907046 0.302855
-0.755912 0.859178 0.467339
-0.604459 0.795194 0.615952
-0.454271 0.714191 0.717304
-0.305413 0.617307 0.853282
-0.166781 0.508356 0.953407
-0.036225 0.393987 1.052451
0.081546 0.282913 1.174915
0.181530 0.184652 1.254784
0.257778 0.107581 1.318301
0.317861 0.056927 1.391657
0.361324 0.034240 1.441407
0.355948 0.032925 1.434743
0.329100 0.042824 1.409435
0.280232 0.054625 1.341178
0.225394 0.061098 1.300192
0.149097 0.059172 1.227204
0.068658 0.050357 1.166915
-0.017496 0.039550 1.067668
-0.101618 0.032329 1.008159
-0.179185 0.032327 0.946937
-0.248654 0.039547 0.909706
-0.318301 0.044879 0.844486
-0.369825 0.050127 0.802225
-0.409881 0.050155 0.759899
-0.443582 0.044952 0.722277
-0.453707 0.039688 0.717420
